habit_id;days_ago;time
1;62;22:08:17
1;57;23:21:25
1;52;23:21:08
1;45;21:27:01
1;43;21:05:53
1;42;23:21:36
1;37;21:50:21
1;33;21:23:31
1;26;23:49:02
1;21;23:47:02
1;20;22:15:43
1;12;21:46:48
1;6;21:28:21
2;51;20:22:38
2;50;16:11:37
2;49;10:28:07
2;45;13:49:26
2;44;19:41:52
2;42;13:10:30
2;41;09:59:59
2;40;12:31:47
2;39;09:52:55
2;38;09:35:52
2;37;11:15:13
2;36;13:42:28
2;35;22:35:55
2;34;14:21:38
2;33;21:44:16
2;32;13:43:48
2;31;13:04:22
2;30;20:15:54
2;29;10:02:12
2;28;18:27:33
2;27;10:14:50
2;26;09:28:15
2;25;11:14:13
2;24;10:41:26
2;23;09:32:31
2;22;22:25:27
2;21;19:18:48
2;20;11:02:17
2;19;20:13:07
2;18;17:23:30
2;17;14:28:25
2;16;20:55:49
2;15;18:15:16
2;14;17:26:22
2;13;09:09:04
2;12;17:18:59
2;11;14:44:29
2;10;22:20:40
2;9;22:12:40
2;8;20:33:12
2;7;12:06:17
2;6;19:28:40
2;5;11:39:49
2;4;15:49:24
2;3;10:16:38
2;2;19:04:21
2;1;18:20:00
4;45;20:29:17
4;44;20:27:26
4;43;21:00:43
4;42;23:36:24
4;41;21:43:18
4;39;22:42:11
4;38;21:00:50
4;37;23:02:25
4;36;22:19:34
4;35;22:05:17
4;34;23:14:42
4;33;23:42:16
4;32;23:54:48
4;30;23:59:19
4;29;22:19:06
4;28;19:24:42
4;27;19:58:38
4;25;19:07:10
4;24;20:57:33
4;23;20:52:22
4;22;20:51:59
4;21;19:34:30
4;20;22:40:41
4;19;22:12:14
4;18;22:39:04
4;17;19:16:18
4;16;19:47:11
4;15;19:15:02
4;14;23:18:46
4;13;20:28:02
4;12;19:22:00
4;10;20:35:15
4;9;19:25:56
4;8;22:11:20
4;7;23:34:51
4;6;22:52:28
4;5;22:34:22
4;4;21:29:18
4;3;19:29:25
6;34;10:09:32
6;21;08:44:59
6;15;14:12:51
7;29;20:55:31
7;26;14:37:42
7;24;09:53:30
7;20;17:50:24
7;17;09:43:15
7;15;15:16:02
7;15;18:31:20
7;14;14:34:00
7;13;20:54:06
7;12;17:32:12
7;8;18:07:19
7;7;17:48:03
7;4;09:23:40
7;2;09:12:17
8;16;13:51:17
8;15;18:51:39
8;14;16:12:53
8;13;10:35:57
8;12;22:57:34
8;11;10:58:22
8;10;14:16:58
8;9;12:14:54
8;8;11:21:37
8;7;13:34:47
8;6;22:17:34
8;5;22:45:21
8;4;20:11:45
8;3;22:16:54
8;2;10:54:29
8;1;19:56:21

